,city,lat,lng,country,population
121,Kotla Qasim Khan,32.5833,73.75,Pakistan,3219375.0
122,Casablanca,33.5333,-7.5833,Morocco,3215935.0
123,Faisalabad,31.4167,73.0911,Pakistan,3203846.0
124,Santa Cruz de la Sierra,-17.7892,-63.1975,Bolivia,3151676.0
125,Bursa,40.1833,29.05,Turkey,3101833.0
126,Tashkent,41.3111,69.2797,Uzbekistan,3095498.0
127,Guayaquil,-2.19,-79.8875,Ecuador,3094420.0
128,Jaipur,26.9,75.8,India,3073350.0
129,Ouagadougou,12.3686,-1.5275,Burkina Faso,3063271.0
130,Athens,37.9842,23.7281,Greece,3059764.0
131,San Diego,32.8313,-117.1222,United States,3057778.0
132,Guatemala City,14.6417,-90.5133,Guatemala,3014000.0
133,Kuwait City,29.3697,47.9783,Kuwait,2989000.0
134,İzmir,38.42,27.14,Turkey,2965900.0
135,Quezon City,14.65,121.0475,Philippines,2960048.0
136,Kyiv,50.45,30.5233,Ukraine,2952301.0
137,Kottārasshēri,10.775,76.651,India,2952254.0
138,Incheon,37.4833,126.6333,"Korea, South",2936117.0
139,Minneapolis,44.9635,-93.2678,United States,2906807.0
140,Tampa,27.9945,-82.4447,United States,2906035.0
141,Mbuji-Mayi,-6.15,23.6,Congo (Kinshasa),2892000.0
142,Pyongyang,39.0167,125.7475,"Korea, North",2863000.0
143,Taichung,24.1439,120.6794,Taiwan,2850285.0
144,Cali,3.4206,-76.5222,Colombia,2838333.0
145,Pretoria,-25.7461,28.1881,South Africa,2818100.0
146,Omdurman,15.6835,32.4629,Sudan,2805396.0
147,Malang,-7.98,112.62,Indonesia,2795209.0
148,Stuttgart,48.7775,9.18,Germany,2787724.0
149,Rome,41.8931,12.4828,Italy,2748109.0
150,Kaohsiung,22.615,120.2975,Taiwan,2737660.0
151,Brooklyn,40.6501,-73.9496,United States,2736074.0
152,Brisbane,-27.4678,153.0281,Australia,2706966.0
153,Denver,39.762,-104.8758,United States,2691349.0
154,Gāzipura,23.9234,90.3959,Bangladesh,2674697.0
155,Maracaibo,10.6333,-71.6333,Venezuela,2658355.0
156,Attadappa,11.8689,75.3555,India,2615266.0
157,Munich,48.1375,11.575,Germany,2606021.0
158,Birmingham,52.48,-1.9025,United Kingdom,2590363.0
159,Valencia,10.1833,-68.0,Venezuela,2585202.0
160,Damascus,33.502,36.2981,Syria,2584771.0
161,Chattogram,22.335,91.8325,Bangladesh,2581643.0
162,Brazzaville,-4.2667,15.2667,Congo (Brazzaville),2557100.0
163,Sanaa,15.3483,44.2064,Yemen,2545000.0
164,Barmhān Kalān,19.1972,72.9722,India,2537000.0
165,Medellín,6.2308,-75.5906,Colombia,2529403.0
166,Mirzāpur,25.146,82.569,India,2496970.0
167,Hamburg,53.55,10.0,Germany,2496600.0
168,Taipei,25.0375,121.5625,Taiwan,2494813.0
169,Toluca,19.2925,-99.6569,Mexico,2476689.0
170,Yaoundé,3.8667,11.5167,Cameroon,2440462.0
171,Mecca,21.4225,39.8261,Saudi Arabia,2427924.0
172,Vancouver,49.25,-123.1,Canada,2426160.0
173,Beirut,33.8981,35.5058,Lebanon,2421354.0
174,Salvador,-12.9831,-38.4928,Brazil,2417678.0
175,Bucharest,44.4325,26.1039,Romania,2412530.0
176,Nāgpur,21.1497,79.0806,India,2405665.0
177,Queens,40.7498,-73.7976,United States,2405464.0
178,Bekasi,-6.2333,107.0,Indonesia,2381053.0
179,Daegu,35.8717,128.6017,"Korea, South",2376044.0
180,Algiers,36.7325,3.0872,Algeria,2364230.0
181,Depok,-6.394,106.8225,Indonesia,2330333.0
182,Konya,37.8667,32.4833,Turkey,2320241.0
183,Haiphong,20.8651,106.6838,Vietnam,2310280.0
184,Baku,40.3667,49.8352,Azerbaijan,2300500.0
185,Fukuoka,33.59,130.4017,Japan,2286000.0
186,Tangerang,-6.1703,106.6403,Indonesia,2237006.0
187,Almaty,43.24,76.915,Kazakhstan,2228675.0
188,Vienna,48.2083,16.3725,Austria,2223236.0
189,Eşfahān,32.6653,51.6703,Iran,2219343.0
190,Awka,6.2069,7.0678,Nigeria,2171900.0
191,Perth,-31.9558,115.8597,Australia,2141834.0
192,Gaziantep,37.0628,37.3792,Turkey,2130432.0
193,Phnom Penh,11.5696,104.921,Cambodia,2129371.0
194,Mogadishu,2.0392,45.3419,Somalia,2120000.0
195,Kowloon,22.3167,114.1833,Hong Kong,2108419.0
196,Córdoba,-31.4167,-64.1833,Argentina,2106734.0
197,Zamboanga City,6.9042,122.0761,Philippines,2100000.0
198,Rawalpindi,33.6,73.0333,Pakistan,2098231.0
199,Havana,23.1367,-82.3589,Cuba,2089532.0
200,Warsaw,52.23,21.0111,Poland,2028000.0
201,Gujranwala,32.1567,74.19,Pakistan,2027001.0
202,Aleppo,36.2319,37.1681,Syria,2003671.0
203,Tijuana,32.525,-117.0333,Mexico,2002000.0
204,Minsk,53.9006,27.5586,Belarus,1992862.0
205,Karaj,35.8292,50.9675,Iran,1973470.0
206,Kananga,-5.897,22.4488,Congo (Kinshasa),1971704.0
207,Peshawar,34.0144,71.5675,Pakistan,1970042.0
208,Sapporo,43.0619,141.3544,Japan,1959313.0
209,Tilburg,51.5572,5.0911,Netherlands,1944588.0
210,Davao,7.07,125.6,Philippines,1910167.0
211,Multan,30.1978,71.4697,Pakistan,1871843.0
212,Port Harcourt,4.8242,7.0336,Nigeria,1865000.0
213,Tainan,22.9833,120.1833,Taiwan,1856642.0
214,San Juan,18.3985,-66.061,Puerto Rico,1809800.0
215,Mosul,36.3667,43.1167,Iraq,1792000.0
216,Diyarbakır,37.91,40.24,Turkey,1791373.0
217,Lubumbashi,-11.6647,27.4794,Congo (Kinshasa),1786397.0
218,Benin City,6.3333,5.6222,Nigeria,1780000.0
219,Curitiba,-25.4297,-49.2719,Brazil,1773718.0
220,Adana,37.0,35.3213,Turkey,1765981.0
221,Quito,-0.22,-78.5125,Ecuador,1763275.0
222,Lusaka,-15.4167,28.2833,Zambia,1747152.0
223,Hyderabad City,25.3792,68.3683,Pakistan,1732693.0
224,Maracay,10.2469,-67.5961,Venezuela,1723236.0
225,Masqaţ,23.614,58.5911,Oman,1720000.0
226,Montevideo,-34.9056,-56.1842,Uruguay,1719453.0
227,Budapest,47.4983,19.0408,Hungary,1686222.0
228,Kampala,0.3136,32.5811,Uganda,1680600.0
229,Conakry,9.5092,-13.7122,Guinea,1667864.0
230,Caloocan City,14.65,120.97,Philippines,1661584.0
231,Ecatepec,19.6097,-99.06,Mexico,1655015.0
232,Novosibirsk,55.05,82.95,Russia,1633851.0
233,Semarang,-6.99,110.4225,Indonesia,1621384.0
234,Valencia,39.47,-0.3764,Spain,1595000.0
235,León de los Aldama,21.1167,-101.6833,Mexico,1579803.0
236,Puebla,19.0333,-98.1833,Mexico,1576259.0
237,Biên Hòa,10.95,106.8167,Vietnam,1575000.0
238,Yopougon,5.3748,-4.0867,Côte d’Ivoire,1571065.0
239,Shīrāz,29.61,52.5425,Iran,1565572.0
240,Dushanbe,38.5367,68.78,Tajikistan,1564700.0
241,Harare,-17.8292,31.0522,Zimbabwe,1558823.0
242,Tabrīz,38.0817,46.2992,Iran,1558693.0
243,San José,9.9325,-84.08,Costa Rica,1543000.0
244,San Salvador,13.6989,-89.1914,El Salvador,1538525.0
245,Palembang,-2.9861,104.7556,Indonesia,1535952.0
246,Kawasaki,35.5167,139.7,Japan,1531646.0
247,Kōbe,34.69,135.1956,Japan,1521707.0
248,Lomé,6.1308,1.2153,Togo,1500000.0
249,Niamey,13.515,2.1175,Niger,1496260.0
250,Gwangju,35.1653,126.8486,"Korea, South",1490092.0
251,Recife,-8.0539,-34.8808,Brazil,1488920.0
252,Abu Dhabi,24.4667,54.3667,United Arab Emirates,1483000.0
253,Onitsha,6.1667,6.7833,Nigeria,1483000.0
254,Amsterdam,52.3728,4.8936,Netherlands,1477213.0
255,Zapopan,20.7167,-103.4,Mexico,1476491.0
256,Daejeon,36.35,127.385,"Korea, South",1475221.0
257,Auckland,-36.8492,174.7653,New Zealand,1470100.0
258,Yekaterinburg,56.8356,60.6128,Russia,1468833.0
259,Kyōto,35.0117,135.7683,Japan,1463723.0
260,Dakar,14.6726,-17.432,Senegal,1438725.0
261,Kayseri,38.7225,35.4875,Turkey,1434357.0
262,Muscat,23.6139,58.5922,Oman,1421409.0
263,Kharkiv,49.9925,36.2311,Ukraine,1421125.0
264,Pointe-Noire,-4.7975,11.8503,Congo (Brazzaville),1420612.0
265,Medina,24.47,39.61,Saudi Arabia,1411599.0
266,Sangereng,-6.2889,106.7181,Indonesia,1404785.0
267,Sofia,42.6979,23.3217,Bulgaria,1404116.0
268,Ulaanbaatar,47.9214,106.9055,Mongolia,1396288.0
269,Adelaide,-34.9275,138.6,Australia,1387290.0
270,Prague,50.0875,14.4214,Czechia,1384732.0
271,Copenhagen,55.6805,12.5615,Denmark,1366301.0
272,Helsinki,60.1708,24.9375,Finland,1360075.0
273,Samsun,41.2903,36.3336,Turkey,1356079.0
274,Milan,45.4669,9.19,Italy,1354196.0
275,Antalya,36.8874,30.7075,Turkey,1344000.0
276,Santiago,19.4572,-70.6889,Dominican Republic,1343423.0
277,Makassar,-5.1331,119.4136,Indonesia,1338663.0
278,Porto Alegre,-30.0328,-51.23,Brazil,1332845.0
279,Barranquilla,10.9833,-74.8019,Colombia,1326588.0
280,Al Başrah,30.515,47.81,Iraq,1326564.0
281,Saitama,35.8614,139.6456,Japan,1325843.0
282,Ahvāz,31.3047,48.6783,Iran,1325000.0
283,Guarulhos,-23.4667,-46.5333,Brazil,1324781.0
284,Juárez,31.745,-106.485,Mexico,1321004.0
285,Mandalay,21.9831,96.0844,Burma,1319452.0
286,Calgary,51.05,-114.0667,Canada,1306784.0
287,Belém,-1.4558,-48.5039,Brazil,1280614.0
288,Cacuaco,-8.8053,13.2444,Angola,1279488.0
289,Rosario,-32.9575,-60.6394,Argentina,1276000.0
290,Tangier,35.7767,-5.8039,Morocco,1275428.0
291,Antananarivo,-18.91,47.525,Madagascar,1275207.0
292,Canagatan,18.0,121.8,Philippines,1273219.0
293,Soweto,-26.2678,27.8585,South Africa,1271628.0
294,Kazan,55.7964,49.1089,Russia,1259173.0
295,Bagam,1.13,104.0531,Indonesia,1256610.0
296,Comayagüela,14.098,-87.21,Honduras,1250000.0
297,Brussels,50.8467,4.3525,Belgium,1249597.0
298,Sharjah,25.3575,55.3908,United Arab Emirates,1247749.0
299,Barquisimeto,10.0636,-69.3347,Venezuela,1240714.0
300,Sumedang,-6.84,107.9208,Indonesia,1240000.0
301,Cần Thơ,10.0333,105.7833,Vietnam,1237300.0
302,Suwon,37.2667,127.0167,"Korea, South",1234300.0
303,Campinas,-22.9009,-47.0573,Brazil,1213792.0
304,Nizhniy Novgorod,56.3269,44.0075,Russia,1204985.0
305,Qom,34.64,50.8764,Iran,1201158.0
306,Baidoa,3.1167,43.65,Somalia,1200000.0
307,Mombasa,-4.05,39.6667,Kenya,1200000.0
308,Hargeysa,9.56,44.065,Somalia,1200000.0
309,Hiroshima,34.3914,132.4519,Japan,1198021.0
310,Chiang Mai,18.7953,98.9986,Thailand,1198000.0
311,Belgrade,44.8178,20.4569,Serbia,1197714.0
312,Maiduguri,11.8372,13.1542,Nigeria,1197497.0
313,Batam Centre,1.1272,104.0556,Indonesia,1196396.0
314,Mbandaka,0.0478,18.2558,Congo (Kinshasa),1187837.0
315,Doha,25.2867,51.5333,Qatar,1186023.0
316,Shymkent,42.3167,69.5958,Kazakhstan,1184113.0
317,Tripoli,32.8872,13.1914,Libya,1183000.0
318,Chelyabinsk,55.1547,61.3758,Russia,1177058.0
319,Cilacap,-7.7167,109.017,Indonesia,1174964.0
320,Nay Pyi Taw,19.7475,96.115,Burma,1160242.0
321,Aba,5.1167,7.3667,Nigeria,1160000.0
322,Tegucigalpa,14.1057,-87.204,Honduras,1157509.0
323,Kigali,-1.9536,30.0606,Rwanda,1156663.0
324,Samara,53.2028,50.1408,Russia,1156659.0
325,Edmonton,53.5344,-113.4903,Canada,1151635.0
326,Bishkek,42.8667,74.5667,Kyrgyzstan,1145044.0
327,Bujumbura,-3.3833,29.3667,Burundi,1143202.0
328,Krasnodar,45.0333,38.9667,Russia,1138654.0
329,Rostov,47.2225,39.71,Russia,1135968.0
330,Maputo,-25.9153,32.5764,Mozambique,1133200.0
331,Bukavu,-2.5061,28.8608,Congo (Kinshasa),1133000.0
332,Shagamu,6.8333,3.65,Nigeria,1132270.0
333,Ufa,54.7261,55.9475,Russia,1128787.0
334,Santo Domingo,18.4764,-69.8933,Dominican Republic,1128678.0
335,Ulsan,35.55,129.3167,"Korea, South",1127553.0
336,Tbilisi,41.7225,44.7925,Georgia,1118035.0
337,Fès,34.0433,-5.0033,Morocco,1112072.0
338,Ninh Bình,20.25,105.8333,Vietnam,1106913.0
339,Yerevan,40.1814,44.5144,Armenia,1106300.0
340,Mwanza,-2.5167,32.9,Tanzania,1104521.0
341,Omsk,54.9833,73.3667,Russia,1104485.0
342,Mexicali,32.6633,-115.4678,Mexico,1102342.0
343,Sevilla,37.39,-5.99,Spain,1100000.0
344,Ikare,7.5167,5.75,Nigeria,1099931.0
345,Tamale,9.4075,-0.8533,Ghana,1095808.0
346,Goiânia,-16.6806,-49.2564,Brazil,1093007.0
347,Krasnoyarsk,56.0089,92.8719,Russia,1092851.0
348,Cologne,50.9364,6.9528,Germany,1087353.0
349,Ubungo,-6.7889,39.2056,Tanzania,1086912.0
350,Kisangani,0.5167,25.2,Congo (Kinshasa),1081000.0
351,Astana,51.1472,71.4222,Kazakhstan,1078362.0
352,Nezahualcóyotl,19.4081,-99.0186,Mexico,1077208.0
353,Nouakchott,18.0858,-15.9785,Mauritania,1077169.0
354,Tongjin,37.2333,127.2,"Korea, South",1076369.0
355,Ciudad Nezahualcóyotl,19.4006,-99.0148,Mexico,1072676.0
356,Ottawa,45.4247,-75.695,Canada,1068821.0
357,Goyang,37.65,126.8,"Korea, South",1061929.0
358,Sendai,38.2682,140.8694,Japan,1061177.0
359,Voronezh,51.6717,39.2106,Russia,1051995.0
360,Managua,12.1364,-86.2514,Nicaragua,1051236.0
361,Mersin,36.8,34.6333,Turkey,1040507.0
362,São Luís,-2.53,-44.3028,Brazil,1037775.0
363,Matola,-25.9667,32.4667,Mozambique,1032197.0
364,Ogbomoso,8.1333,4.25,Nigeria,1032000.0
365,Rangapukur,25.5206,89.2147,Bangladesh,1031388.0
366,Ashgabat,37.9375,58.38,Turkmenistan,1030063.0
367,Enugu,6.5,7.5,Nigeria,1029400.0
368,Perm,58.0,56.3167,Russia,1026908.0
369,Shubrā al Khaymah,30.1286,31.2422,Egypt,1025569.0
370,Monrovia,6.3133,-10.8014,Liberia,1021762.0
371,Islamabad,33.6931,73.0639,Pakistan,1014825.0
372,Thủ Đức,10.8266,106.7609,Vietnam,1013795.0
373,Āqchah,36.9114,66.1858,Afghanistan,1012000.0
374,Odesa,46.492,30.7081,Ukraine,1010537.0
375,Namangan,41.0011,71.6683,Uzbekistan,1010000.0
376,Changwon,35.2708,128.6631,"Korea, South",1009998.0
377,Arequipa,-16.3989,-71.5369,Peru,1008290.0
378,Tshikapa,-6.4167,20.8,Congo (Kinshasa),1006387.0
379,Morelia,19.7683,-101.1894,Mexico,1002461.0
380,Quetta,30.1833,67.0,Pakistan,1001205.0
381,Domaa-Ahenkro,7.2739,-2.8735,Ghana,1000000.0
382,Stockholm,59.3275,18.0547,Sweden,995574.0
383,Bordeaux,44.84,-0.58,France,994920.0
384,Lilongwe,-13.9669,33.7873,Malawi,989318.0
385,Port-au-Prince,18.5425,-72.3386,Haiti,987310.0
386,Esenyurt,41.0342,28.68,Turkey,983571.0
387,Ciudad Guayana,8.3667,-62.65,Venezuela,978202.0
388,Chiba,35.6073,140.1064,Japan,975014.0
389,Kirkuk,35.4667,44.4,Iraq,975000.0
390,Dnipro,48.4675,35.04,Ukraine,968502.0
391,Nārāyanganj,23.6167,90.5,Bangladesh,967951.0
392,Gqeberha,-33.9581,25.6,South Africa,967677.0
393,Málaga,36.7194,-4.42,Spain,967250.0
394,Marrakech,31.63,-8.0089,Morocco,966987.0
395,Cebu City,10.32,123.75,Philippines,964169.0
396,Asmara,15.3358,38.9411,Eritrea,963000.0
397,Maceió,-9.6658,-35.735,Brazil,957916.0
398,Freetown,8.4833,-13.2331,Sierra Leone,951000.0
399,Santo Domingo Este,18.4855,-69.8734,Dominican Republic,948855.0
400,Vientiane,17.98,102.63,Laos,948487.0
401,Kermānshāh,34.3369,47.0911,Iran,946651.0
402,Kibanseke Première,-4.4419,15.395,Congo (Kinshasa),946372.0
403,Seberang Jaya,5.3909,100.4104,Malaysia,946092.0
404,Sale,34.0333,-6.8,Morocco,945101.0
405,El Alto,-16.5047,-68.1633,Bolivia,943000.0
406,Çankaya,39.9244,32.8856,Turkey,942553.0
407,Hwasu-dong,37.1997,126.8314,"Korea, South",941489.0
408,Setagaya,35.6466,139.6532,Japan,940071.0
409,Keçiören,40.0,32.8667,Turkey,939279.0
410,Jerusalem,31.7789,35.2256,Israel,936425.0
411,Khartoum North,15.6333,32.6333,Sudan,936349.0
412,Mushin,6.5333,3.35,Nigeria,935400.0
413,Trujillo,-8.112,-79.0288,Peru,935147.0
414,Kitakyūshū,33.8833,130.8833,Japan,935084.0
415,Aguascalientes,21.876,-102.296,Mexico,934424.0
416,Khulna,22.8167,89.55,Bangladesh,928891.0
417,Sŏngnam,37.4333,127.15,"Korea, South",918771.0
418,Cartagena,10.4,-75.5,Colombia,914552.0
419,Naples,40.8358,14.2486,Italy,913462.0
420,Santiago del Estero,-27.7833,-64.2667,Argentina,911506.0
421,Masbate,12.27,123.58,Philippines,908920.0
422,La Plata,-34.9211,-57.9544,Argentina,904789.0
423,Bobo-Dioulasso,11.1833,-4.2833,Burkina Faso,903887.0
424,Ad Dammām,26.4333,50.1,Saudi Arabia,903312.0
425,Donetsk,48.0028,37.8053,Ukraine,901645.0
426,Ashmūn,30.2974,30.9764,Egypt,901191.0
427,Bunia,1.5667,30.25,Congo (Kinshasa),900666.0
428,São Gonçalo,-22.8269,-43.0539,Brazil,896744.0
429,Bucaramanga,7.1333,-73.0,Colombia,893040.0
430,Cazenga,-8.8214,13.2911,Angola,892401.0
431,Bangui,4.3733,18.5628,Central African Republic,889231.0
432,Antipolo,14.5842,121.1763,Philippines,887399.0
433,Taguig City,14.52,121.05,Philippines,886722.0
434,Tabūk,28.3972,36.5789,Saudi Arabia,886036.0
435,Panama City,8.9711,-79.5347,Panama,880691.0
436,As Sulaymānīyah,35.55,45.4333,Iraq,878146.0
437,Klang,3.0223,101.5481,Malaysia,878000.0
438,Marseille,43.2964,5.37,France,877215.0
439,Ar Ramādī,33.4258,43.2992,Iraq,874543.0
440,Ipoh,4.6,101.065,Malaysia,866772.0
441,Aden,12.8,45.0333,Yemen,863000.0
442,Cochabamba,-17.3883,-66.1597,Bolivia,856198.0
443,Portsmouth,50.8058,-1.0872,United Kingdom,855679.0
444,Southampton,50.9025,-1.4042,United Kingdom,855569.0
445,Cheongju,36.6333,127.4833,"Korea, South",852018.0
446,Thanh Hóa,19.8075,105.7764,Vietnam,850000.0
447,Erbil,36.1911,44.0094,Iraq,846000.0
448,Kathmandu,27.71,85.32,Nepal,845767.0
449,Turin,45.0792,7.6761,Italy,841600.0
450,Pietermaritzburg,-29.6167,30.3833,South Africa,839327.0
451,Durban,-29.8833,31.05,South Africa,838634.0
452,Barcelona,10.1403,-64.6833,Venezuela,815141.0
453,N’Djamena,12.1053,15.0447,Chad,807000.0
454,Cúcuta,7.8942,-72.5039,Colombia,806378.0
455,Kraków,50.0614,19.9372,Poland,804237.0
456,Oran,35.6969,-0.6331,Algeria,803329.0
457,Pasig City,14.5605,121.0765,Philippines,803159.0
458,Thessaloníki,40.6403,22.9356,Greece,802572.0
459,Blantyre,-15.7861,35.0058,Malawi,800264.0
460,Palermo,2.8917,-75.4375,Colombia,800000.0
461,Libreville,0.3901,9.4544,Gabon,797003.0
462,Vinh,18.6667,105.6667,Vietnam,790000.0
463,Kumila,35.25,73.5,Pakistan,784711.0
464,Lubango,-14.9167,13.5,Angola,776249.0
465,Frankfurt,50.1106,8.6822,Germany,775790.0
466,Homs,34.7319,36.7181,Syria,775404.0
467,Bilbao,43.2569,-2.9236,Spain,775000.0
468,Bucheon,37.5,126.7833,"Korea, South",772450.0
469,Khŭjand,40.2833,69.6333,Tajikistan,770000.0
470,Hamhŭng,39.9167,127.5333,"Korea, North",768551.0
471,Zagreb,45.8131,15.9772,Croatia,767131.0
472,Al ‘Ayn,24.2075,55.7447,United Arab Emirates,766936.0
473,Dodoma,-6.1731,35.7419,Tanzania,765179.0
474,Pikine,14.744,-17.4021,Senegal,764597.0
475,Bahawalpur,29.3956,71.6836,Pakistan,762111.0
476,Winnipeg,49.8844,-97.1464,Canada,758515.0
477,Baardheere,2.3447,42.2764,Somalia,755500.0
478,Colombo,6.9167,79.8333,Sri Lanka,752993.0
479,Gdańsk,54.3475,18.6453,Poland,749786.0
